,KOR,AUS,GBR,ESP,JPN,CAN,USA,MEX,DEU,ITA,CHE,SWE,FRA
1995-03-01,-3.589067723423014,-1.849707150209289,-1.7905063396804943,-1.3557875526091876,-1.4078005054438214,-1.3663896381412195,-0.9263032740219042,-1.7551197826769411,-0.9543981028471912,-1.0169620497255736,-1.027353022035561,-3.032930777656458,-0.827866325405818
1995-06-01,-3.4138185667730427,-1.8896933869085657,-1.9092962251382763,-1.2387821113771824,-1.2999312400148044,-1.3932367991507448,-1.0783700729758514,-2.552579870437335,-1.2703908449016763,-1.0811641449489848,-0.9948805588902105,-3.0216867279726656,-1.0273288238528302
1995-09-01,-3.5397416604114267,-1.9861324913587681,-1.8016887322016981,-1.3368335892421046,-1.4400073493478824,-1.3480574340142792,-0.8700668364497004,-3.2650303003297703,-1.2156773629986826,-0.9975460703994441,-1.0208263062149194,-2.792306224761568,-0.8026448587348981
1995-12-01,-3.5175664816006553,-1.9668179714422669,-1.6016198532332708,-1.214299165804669,-1.2742487665111482,-1.2913559351339943,-0.9580101704941726,-2.9257668060511235,-1.0308347612186448,-1.043154090656868,-1.0238166206716164,-2.9186488388758693,-0.7989404372554484
1996-03-01,-3.5194963065388367,-2.0774700420804773,-1.7228357060338773,-1.5685101777336927,-1.495236316783149,-1.3590370775058678,-0.934017887922698,-0.4709428545802732,-1.4245891131739712,-1.2320022907895778,-0.9549973134316291,-3.168242700066187,-0.8244147619956439
1996-06-01,-3.5060994036628204,-2.0154738149714513,-1.6990875242989483,-1.3806295706556129,-1.4842944652180843,-1.263068150522516,-0.9174637886985896,-0.8787700802750944,-0.9763017470267437,-0.9772741344264576,-1.0497218959349661,-3.162684261288863,-0.7730724559547836
1996-09-01,-3.5153973697160774,-1.765621004048491,-1.3615777255684964,-1.2324475156471837,-1.4732532773393412,-1.2377658992595086,-0.9142888396928852,-2.5795095802298555,-1.4356817032004576,-0.9665734424162574,-1.1604131520928302,-2.9934188967708395,-0.5156331216406385
1996-12-01,-3.5920324284474368,-2.0592211812027825,-1.0296128344592061,-1.4270782079013349,-1.45389896960877,-1.2788988677494537,-0.9476242216660288,-2.489305775552759,-1.4306898140034798,-1.0678129002040035,-0.942145046675352,-3.335179745424831,-0.5972899269423662
1997-03-01,-3.4604198590622377,-1.819881192990379,-1.2175403775717142,-1.3347639337115125,-1.5137132253992052,-1.2405118249817593,-0.9272731940768031,-2.5765892941432336,-1.8723925048526724,-0.8926611499617131,-0.9918100362388315,-3.128297889080955,-0.712691388859826
1997-06-01,-3.356207845922059,-1.9993847659079045,-0.986142651226473,-1.321470160449902,-1.4779465400857248,-1.2636822563732033,-0.9977122449837841,-2.3804237405189324,-1.1200818449757433,-0.7602004926318439,-0.690777255009121,-3.0282082509373915,-0.4622122272571483
